subject,model,nll,cv_nll,params
ACN0C9HPYDTED:36DSNE9QZ66UIWW6W1JAY7NSUULJOD,hill_climbing_model,2950.5942724044266,2956.5255501752326,"[0.6641114923452551, -0.9481718333857962, -0.00010636103746472687]"
ACN0C9HPYDTED:36DSNE9QZ66UIWW6W1JAY7NSUULJOD,random_model,3050.7259805934546,3050.7259805934286,[0.3819660112501051]
A3BPRPN10HJD4B:3TXD01ZLD5PZSJXIPG8FRBQYTI9U4X,gamma_only_model,2527.033102413681,2527.3769381442216,[0.10926214114115813]
A3BPRPN10HJD4B:3TXD01ZLD5PZSJXIPG8FRBQYTI9U4X,gamma_0_model,2534.912665406231,2535.454364047095,[0.5368400759995652]
A3BPRPN10HJD4B:3TXD01ZLD5PZSJXIPG8FRBQYTI9U4X,gamma_no_same_model,2587.03788224689,2587.4047762535706,[0.1493110958648501]
A3BPRPN10HJD4B:3TXD01ZLD5PZSJXIPG8FRBQYTI9U4X,eureka_model,2615.128065895842,2622.090066435955,"[12.000000000009228, 0.6549954429568005]"
A3BPRPN10HJD4B:3TXD01ZLD5PZSJXIPG8FRBQYTI9U4X,forward_search,2619.815975819261,2621.4754588964624,"[1.1961541062768766, 903557.0]"
A3BPRPN10HJD4B:3TXD01ZLD5PZSJXIPG8FRBQYTI9U4X,opt_rand_model,2629.2940114134312,2629.6483895228544,[0.7007641794845816]
A3BPRPN10HJD4B:3TXD01ZLD5PZSJXIPG8FRBQYTI9U4X,hill_climbing_model,2715.097356412002,2718.1606809012565,"[0.7153637914534218, -1.0650685961583144, 0.2518445831203065]"
A3BPRPN10HJD4B:3TXD01ZLD5PZSJXIPG8FRBQYTI9U4X,random_model,2835.533043117363,2835.5330431173384,[0.3819660112501051]
AJ5FWZJS4V0HM:32N49TQG3HQE7N2Z37SB00EH0G9VAS,gamma_only_model,1207.0466158349795,1208.1998726025631,[0.067776662856381]
AJ5FWZJS4V0HM:32N49TQG3HQE7N2Z37SB00EH0G9VAS,gamma_0_model,1242.9282111383127,1245.904571370784,[0.37631087745939357]
AJ5FWZJS4V0HM:32N49TQG3HQE7N2Z37SB00EH0G9VAS,gamma_no_same_model,1239.9356893903434,1241.7259487406652,[0.0789793417855123]
AJ5FWZJS4V0HM:32N49TQG3HQE7N2Z37SB00EH0G9VAS,eureka_model,1193.1467770025297,1193.7297603458883,"[10.73147713517816, 0.3046601603131172]"
AJ5FWZJS4V0HM:32N49TQG3HQE7N2Z37SB00EH0G9VAS,forward_search,1170.7797563487836,1172.5131053027528,"[0.7903731854789102, 1.0e10]"
AJ5FWZJS4V0HM:32N49TQG3HQE7N2Z37SB00EH0G9VAS,opt_rand_model,1238.3876019932372,1239.5337292159695,[0.4833186956107526]
AJ5FWZJS4V0HM:32N49TQG3HQE7N2Z37SB00EH0G9VAS,hill_climbing_model,1449.991014723699,1452.2828219888127,"[0.7332739267663844, -1.31274894990617, -0.039196831734688145]"
AJ5FWZJS4V0HM:32N49TQG3HQE7N2Z37SB00EH0G9VAS,random_model,1555.4615076436346,1555.4615076436266,[0.3819660112501051]
A28RX7L0QZ993M:3SITXWYCNWHBUMCM90TPJWV8Y7AXBW,gamma_only_model,436.82095737730384,437.55003445116745,[0.09213590890568792]
A28RX7L0QZ993M:3SITXWYCNWHBUMCM90TPJWV8Y7AXBW,gamma_0_model,436.2812890872773,437.97659319958785,[0.3687089982332256]
A28RX7L0QZ993M:3SITXWYCNWHBUMCM90TPJWV8Y7AXBW,gamma_no_same_model,445.5631829661094,446.34730111665004,[0.10741097532051314]
A28RX7L0QZ993M:3SITXWYCNWHBUMCM90TPJWV8Y7AXBW,eureka_model,445.4668619404674,451.5161340388224,"[10.999999999999815, 0.46284677079045733]"
A28RX7L0QZ993M:3SITXWYCNWHBUMCM90TPJWV8Y7AXBW,forward_search,435.21748575889575,441.5537723109778,"[1.013473032053651, 7.22534949e8]"
A28RX7L0QZ993M:3SITXWYCNWHBUMCM90TPJWV8Y7AXBW,opt_rand_model,443.6424829965414,443.7266998366483,[0.48213368131345063]
A28RX7L0QZ993M:3SITXWYCNWHBUMCM90TPJWV8Y7AXBW,hill_climbing_model,507.7577760144467,510.517833428559,"[0.8235288976433657, -1.674816942322967, -0.13159467773872502]"
A28RX7L0QZ993M:3SITXWYCNWHBUMCM90TPJWV8Y7AXBW,random_model,555.5598779750603,555.5598779750602,[0.3819660112501051]
A23XJ8I86R0O3B:30IQTZXKALEAAZ9CBKW0ZFZP6O5X07,gamma_only_model,1476.5452300353782,1480.5851346067964,[0.10473731938593023]
A23XJ8I86R0O3B:30IQTZXKALEAAZ9CBKW0ZFZP6O5X07,gamma_0_model,1466.0388303355826,1467.7405179112043,[0.4709416481618852]
A23XJ8I86R0O3B:30IQTZXKALEAAZ9CBKW0ZFZP6O5X07,gamma_no_same_model,1507.0241266334178,1507.4209250279807,[0.12924942008375745]
A23XJ8I86R0O3B:30IQTZXKALEAAZ9CBKW0ZFZP6O5X07,eureka_model,1498.3156294473067,1499.3941536319157,"[13.0, 0.5884544075127912]"
A23XJ8I86R0O3B:30IQTZXKALEAAZ9CBKW0ZFZP6O5X07,forward_search,1487.9922940896838,1490.160369129583,"[1.4575213571656513, 3.9591102e7]"
A23XJ8I86R0O3B:30IQTZXKALEAAZ9CBKW0ZFZP6O5X07,opt_rand_model,1503.8169558680088,1505.529500551112,[0.6201314852314849]
A23XJ8I86R0O3B:30IQTZXKALEAAZ9CBKW0ZFZP6O5X07,hill_climbing_model,1641.5588681160264,1643.3702032014533,"[0.6412570142792499, -1.0353206623372848, -0.153036182636578]"
A23XJ8I86R0O3B:30IQTZXKALEAAZ9CBKW0ZFZP6O5X07,random_model,1696.841039467749,1696.84103946774,[0.3819660112501051]
A21LB023L14XC1:3NPI0JQDAPD6HZ4CNVATPDFR24STPZ,gamma_only_model,1625.6061175315504,1626.414046387637,[0.030018968999637134]
A21LB023L14XC1:3NPI0JQDAPD6HZ4CNVATPDFR24STPZ,gamma_0_model,1652.2324061563788,1653.9533769890018,[0.2159473614923725]
A21LB023L14XC1:3NPI0JQDAPD6HZ4CNVATPDFR24STPZ,gamma_no_same_model,1765.4575989348127,1766.7953121981077,[0.044052869491336986]
A21LB023L14XC1:3NPI0JQDAPD6HZ4CNVATPDFR24STPZ,eureka_model,1727.5848261796482,1730.7238426622941,"[10.979849485818253, 0.2892310808454165]"
A21LB023L14XC1:3NPI0JQDAPD6HZ4CNVATPDFR24STPZ,forward_search,1738.2954905012796,1740.2085905530926,"[0.8554173727775414, 1.0e10]"
A21LB023L14XC1:3NPI0JQDAPD6HZ4CNVATPDFR24STPZ,opt_rand_model,1735.2195790106616,1736.3662564583292,[0.4017189666648956]
A21LB023L14XC1:3NPI0JQDAPD6HZ4CNVATPDFR24STPZ,hill_climbing_model,2216.569619943978,2218.716297532806,"[0.5226461430358144, -1.3093992829029253, 0.021988144616251978]"
A21LB023L14XC1:3NPI0JQDAPD6HZ4CNVATPDFR24STPZ,random_model,2371.6708492269827,2371.6708492269618,[0.3819660112501051]
A289D98Z4GAZ28:3ZV9H2YQQEFR2R3JK2IXZUJPXAF3WW,gamma_only_model,2102.5326600066387,2102.9468499776285,[0.048942486696181134]
A289D98Z4GAZ28:3ZV9H2YQQEFR2R3JK2IXZUJPXAF3WW,gamma_0_model,2078.669685535372,2079.8521801049715,[0.3653236656988372]
A289D98Z4GAZ28:3ZV9H2YQQEFR2R3JK2IXZUJPXAF3WW,gamma_no_same_model,2216.1238342739584,2217.2115416335314,[0.07388864711437226]
A289D98Z4GAZ28:3ZV9H2YQQEFR2R3JK2IXZUJPXAF3WW,eureka_model,2277.264448207823,2286.7671855193016,"[13.952322201813024, 0.5001756867351487]"
A289D98Z4GAZ28:3ZV9H2YQQEFR2R3JK2IXZUJPXAF3WW,forward_search,2325.6840506102335,2332.355636451887,"[1.4663117118617288, 4.5462954e7]"
A289D98Z4GAZ28:3ZV9H2YQQEFR2R3JK2IXZUJPXAF3WW,opt_rand_model,2302.327401217003,2302.8316156933893,[0.5928121108037031]
A289D98Z4GAZ28:3ZV9H2YQQEFR2R3JK2IXZUJPXAF3WW,hill_climbing_model,2533.8498292208783,2537.3650543702156,"[0.6576735414212702, -1.0502659324150858, -0.013485674488833317]"
